"reclong","reclat"
38.08333,48.28333
2.25,42.9
11,60.66667
-79.61667,43.2
45.38333,43.66667
18.71667,49.26667
30.58333,46.35
15.5,51.93333
16.63333,52.86667
-58.61667,-33
122.76389,39.80417
105,24.1
118.4,37.1
-6.01667,38.73333
20.23333,43.76667
-0.68333,13.5
13.98333,9.91667
76.05,22.98333
11.65833,11.49167
24.7,42.9
78.56667,13.78333
42.41667,9.36667
8.38333,51.91667
127.5,35
139.33333,35.65
3.73333,50.31667
16.23333,57.81667
-86.6,41.38333
82.53333,26.8
75.78333,28.38333
-94.51167,32.675
-86.16667,38.25
136.70033,35.2945
0.81667,28.95
-1.51667,51.65
22.06194,60.24556
13.78333,55.46667
35.66667,27.33333
-84.1,10
17.66667,59.85
130.43333,33.6
-4.23333,55.9
132.38333,34.45
31.47278,1.345
21.2,64.43333
-110.18333,34.9
38.41667,9.06667
-91.86667,41.8
-157.86667,21.3
115.5,35.66667
-100.45,39.35
16.33333,46.1
106.63241,26.46469
8.91667,50.3
22.68333,61.18333
7.7,52.28333
-45,-20
35,38
82.93333,58.2
28.33333,-32.1
-51.83333,-23.2
145.36667,-6.03333
46.66667,39.75
-94.4,39.08333
112,41
-111.3375,53.415
-54.5,-25.5
33.8,-8.93333
-57.95,-31.18333
-44.33333,-3.4
-12.95217,26.59083
32.43333,-8.41667
21.9,-32.5
68.41667,26.75
NA,NA
75,31
75.33333,18.75
105.8,39.7
20.44167,43.83333
NA,NA
14.05217,46.42137
72.38333,31.3
104.91667,31.91667
109.5,30.80833
126.16667,44.05
70.31333,22.68
24.4,55.7
-104.9,40.35
15.83333,-11.85
-0.45,45.43333
115.41667,35.5
76.8,12.85
111.2,-7.71667
118.8,35.2
-7.27,38.74028
4.3,44.71667
21.3,47.35
8.21667,11.85
78.33333,27.08333
79.96667,27.25
30.83333,49.86667
48.3,15
53.25,55.43333
78.51667,12.38333
21.66667,45.13333
29.5,-6.83333
73.98333,17.83333
81.46667,26.03333
139.95667,36.04167
75.8,14.18333
65.78333,31.6
115.5,-7
76.3,32.08333
33.63333,4.7
73.22329,20.33916
73.36667,42.45
81.01667,47.21667
35.58333,-3.5
7.15,12.9
67.16667,27.8
71.6,31.58333
139.91667,-35.08333
136.76667,35.36667
77.58333,29.58333
10.08333,11.33333
75.81333,25.14333
31.78,39.26333
112.01667,-7.75
29.41822,36.54194
-96,29.45
86.70278,20.4625
-3.3,48.4
-3.08333,48.11667
141.61667,38.98333
72.3,29.53333
83.11667,25.55
35.075,50.625
77.88333,26.95
75.81667,28.01667
75.33333,56.75
81.53333,25.1
36,16
28,14
10.15,54.4
-11.33333,16.58333
138.38333,36.85
34,55
9.8,12.76667
-89.6,43.58333
-7.66667,54.66667
24.68333,11.63333
-95.95,30.75
22.30833,48.16667
-80.38333,43.38333
10.8,51.6
22.4,48.9
135.16667,34.73333
133.95,34.3
139.75,35.73333
26.16667,42.51667
21.17633,48.76367
7.46472,49.32694
40.9,54.03333
56.08333,54.33333
77,56.8
30.76667,47.83333
31.7,51.15
66.80222,30.73111
33.5,50.75
45,41.11667
61.36667,55.78333
59.2,42.25
138.38333,37.05
78.38333,29.68333
39.3,44.51667
76.03333,10.83333
75.33333,55.2
130.63333,32.03333
1.75,47.08333
-101.28333,20.66667
-61.53333,-37.33333
-58.16667,-31.23333
5.58333,44.28333
82.71667,26.78333
0.63333,48.76667
NA,NA
76.03333,21.86667
78.56667,24.45
1.06667,47.7
5.11667,43.75
16.73333,58.85
126.19611,46.24167
16.23333,47.75
115.16667,33.13333
-1.11667,51.9
51.56667,52.45
0.43333,47.16667
-0.86667,48.53333
-99.33333,35.88333
28.36667,-25.66667
-6.96667,52.66667
-87.5,34.58333
32.85,52.26667
3.25,48.35
4.73333,50.36667
26.18333,-26.15
15.86667,56.65
-8.78333,52.56667
12.9,52.75
118.98333,31.63333
14.85,50.2
-92.08333,37.91667
26.43333,56
71.8,29.53333
72.62667,26.96556
-77.21163,38.70066
-0.83333,38
-95.15,36.00833
-85.75,38.25
19.91667,52
75.15,24.95
0.48333,47.85
-84.76667,32.03333
103.3,24.8
13.03333,56.21667
27.7,61.2
5,46.21667
29.43333,-7.21667
97,19
-36.66667,-5.2
35.24222,-15.21222
31.95,-28.83333
86.36667,25.91667
111.53333,-7.75
-3.71667,40.41667
-49.93333,-26.16667
27.51667,37.86667
31.65,-19.48333
95.78333,27.66667
9.38333,12.83333
-104,32.21667
31.75,9.5
33.51667,-3.13333
-63.23333,-28.93333
26.76667,-29.45
62.08333,45.21667
86.7,23.05
76.1,20.96667
31.6,-17.65
44.63333,45.81667
72.08333,34.23333
NA,NA
-99.38333,42.71667
11.46745,54.76183
29.25,4.66667
-49.93333,-22.25
-91.6,41.9
30.5,61.5
0.15,44.5
48.1,-14.2
-84.1,35.8
1.86667,45.36667
0,0
12.61667,48.13333
13.13333,48.18333
57,-20
12.08333,8.96667
-101.68333,24.68333
30,-1.21667
34.16667,1.06667
-67.5,-27.25
77.8,29.01667
106.88333,-6.23333
13.15,53.18333
7.21817,46.81867
12.06667,55.05
37.66667,0
81.98333,25.48333
15.56667,38.18333
11.1,50.58333
3.25,45.76667
25.73333,46.5
83.61667,25.9
111.7,34.8
-1.16667,54.56667
-90.36556,42.9075
30.96667,48.06667
133.22,35.56833
17.53333,46.23333
16.1,46.18333
120.36667,-26.45
-92.05,35.4
136.93333,35.07833
14.7,37.28333
120.66667,32.33333
16.6,47.7
83.25,25.68333
23,56.66667
5.93333,61.73333
24.03333,46.8
-101.1,38.5
174.4,-39.63333
-1.16667,38.11667
26.46667,-31.25
-102.85833,31.60833
-80.5,35.25
-8.25,38.01667
13.35,43.26667
1.9625,43.39056
1.58333,47.63333
27.35,-15.96667
-79.38333,35.41667
-8.33333,52.45
145.6,-40.975
78.83333,28.78333
18.53333,49.6
5.13333,44.6
10.7,59.43333
77.33333,26.83333
8.5,45.2
141.7,-29.8
4.8,18.7
6.86667,44.08333
33.5,-11.5
77.01667,12.63333
80.83333,9.33333
90.21667,24.5
145.2,-36.61667
-88.1,36.6
85.53333,26.13333
72.63333,23.05
1,12
140.06167,38.12167
78.21667,26.98333
19.5,49.16667
30.35,31.31667
100.08333,13.73333
79.2,12.28333
103.5,35.66667
-77.16667,38.41667
121.8,32.11667
77,19.25
51.5,33.75
150.68889,-34.05
12.51667,42.51667
165.9,-21.73333
NA,NA
83.66667,21.25
136.46528,36.44917
83.48333,18.68333
35.33333,9.5
21.5,56.5
10.80833,47.525
-81.76667,40
35.68333,15.36667
-90.10976,29.94718
111.41667,-7.45
-4.38333,13.85
-1.43333,49.03333
NA,NA
NA,NA
78.63333,52.45
37.33333,56.11667
121.48333,29.86667
105.90667,32.925
131.56667,34.2
30.7,-28.56667
-69.48333,44.08333
-86.055,40.08528
130.75,33.725
-59.83333,-32.36667
-92.26667,36.21667
-99.86667,39.68333
11.52722,45.29167
46,54.81667
31.33333,58.55
22,56
102.46667,42.91667
-102.13333,24.3
0.75,41.63333
141.86667,43.33333
94.91667,21.20833
22.025,47.55
55.26667,57.78333
8.05,52.28333
23,58.5
22.03333,47.88333
130.2,33.28333
23.58333,46.06667
8.5,6.75
-5.4,38.18333
139.21667,36.18333
135.2,35.08333
25.5,50.83333
8.16667,52.95
-0.03333,39
-7.06667,38.71667
-2.1,39.56667
161.80833,64.02
1.38333,43.88333
-81.36222,28.5475
6.15,47.11667
8,48.5
12.93333,42.13333
9.4,58.88333
140.35,38.4
-95.21667,38.6
0.08,12.9
-6.57717,30.18
-13.1,24.3
-8.28,37.60833
16,-18
-5.86667,43.4
28.83333,51.33333
-99.3,21.05
25,55.66667
120.45583,17.74333
-89.71667,32.31667
-65.1,-23.11667
118.61667,43.48333
-91.5,39.8
-157.78333,21.3
NA,NA
120.7,15.08333
124.28333,8.06667
-90.5,36.06667
-40.7,-6.23333
-51.66667,-19.13333
-87.67917,41.48472
78.35,9.23333
85.4,26.2
-103.4,36.21667
82.05,20.93694
-48.56667,-19.53333
14.96667,38.13333
91.18333,23.15
25.51667,43.46667
77.03333,52.3
35.98333,48.53333
43,52.03333
-3.54217,11.33367
-117.93333,56.13333
9.25,51.66667
-73.91667,41.28333
-103.11667,30.125
35.5,-10.66667
91,23.325
-3.43333,56.4
39.43333,56.63333
66.08333,55.5
0.42,14.052
-86.63333,35.3
-7.33333,53.53333
-99.25,40
108.58333,11.25
105.48333,12
108.1,15.71667
11.50222,44.24417
-6.23333,41.36667
25.73333,58.66667
73.94167,26.03472
18.71667,-32.86667
88.45,25.8
76,29.58333
-83.51667,31.95
-96.11667,30.7
26.70972,45.275
14.11667,50.53333
104.91667,11.58333
NA,NA
12.13333,50.93333
82.66667,26.71667
14.015,66.34833
-4.31944,53.03639
-103.295,34.175
-8,38.5
118.5,31.41667
13.94083,48.3025
14.03333,49.66667
-83.85,39.11667
-3.51667,39.35
75.18333,23.36667
21.26667,52.76667
78.95,13.33333
-53.05,-29.03333
121.5,32.08333
106.46667,26.53333
28.7,-30.11667
95.18333,17.76667
-0.66667,39
126.13333,44.61667
0.25,46.6
-65.45,-26.66667
76.465,27.72528
70.2,28.225
37.03333,52.98333
82.9,26.45
87.76667,24.16667
6.93333,51.88333
87.08333,23.98333
-100.81667,19.86667
72.01667,25.38333
115.7,38.2
50.15,26.66667
26.53333,43.5
17.98333,52.2
-119.75812,38.13742
-5.33333,42.475
111.36667,-6.73333
11.28333,44.76667
-65.28333,-32.75
116.13333,38.66667
45.66667,48.6
-118.95,51.33333
76.66667,28.2
-83.03333,35.03333
-66.15,-44.11667
-102.31667,46.88333
-99.03333,31.25
-77.5,37.46667
-49.8,-26.1
9.51667,45.48333
-86.28333,41.08333
150.51667,-23.38333
0.55,42.3
10.8,50.35
-83.95,44.51667
-2.51667,52.76667
29.83333,-1.45
36.53333,0.26667
38.76667,-10.26667
34.5,51.13333
82.08333,27.43333
91.66667,23.08333
14.88333,51.53333
1.38333,43.73333
0.23333,45.3
136.3,35.66667
-122.96944,44.97917
4.63333,46.05
11.05,52.75
74.86667,25.66667
-117.6625,33.48472
13,43.66667
-71.4,-31.01667
-100.65,19.76667
-51.86667,-29.2
-99.33333,24.16667
-61.7,-33.9
-68.489444,-31.535556
-49.38056,-20.81
46.55,52.55
137.78333,34.71667
-0.85,43.15
29.86667,47.21667
139.4,35.86667
17.56667,49.23333
15.05,53.35
-73.95028,42.86083
10.46667,48.11667
-69.2,44.36667
27.13333,38.3
84.78333,26.75
107.33333,-7.23333
4.98333,22.83333
79,22.25
-0.05,41.71667
140.51167,39.43833
79.50083,21.68389
23.56667,41.05
-36.76667,-8.38333
-44.21667,-19.46667
-6,37.41667
36.6,50.61667
10.71667,34.75
87.3,23.1
-76.7,37.83333
-80.16667,44.05
84.83333,24.55
120.06667,33.65
87.5775,25.85
125.66667,43.5
74.83333,33.71667
90.16667,24.33333
11.6,43.11667
134.65333,46.16
-101.38333,20.93333
27.26667,44.11667
7.53333,49.98333
32.48333,30.9
69.55,26.21667
9.2,39.3
-103.66667,42.58333
82.58333,20.91667
36.13583,39.82467
119.86667,32.43333
10.86667,59.73333
15.6,45.68333
35,55
84.06667,27.13333
21.86667,43.66667
1.73333,47.36667
22.005,54.00883
135.33333,35.16667
125,45.25
23.5,44.41667
33.63333,1.7
0.05,44.75
-1.5,46.95
3.75,51.05
-1.15,48.01667
-90.23333,38.7
27.41667,-32.01667
-76.38333,38.16667
3.93333,48.45
27.2,61.65
2.95,43.43333
14.95,59.93333
15.56667,49.28333
41.98333,45.05
3,50.76667
55.98333,53.66667
9.05,52.53333
-73.13333,41.2
-3.25,56.58333
-3.95,50.38333
-72.97806,45.96861
-90.66667,36.48333
16.26333,50.53806
113.46667,31.61667
78.03333,12.66667
84.28333,25.93333
133.16667,44.86667
84.21667,26.71667
-120.90806,38.80389
-86.2945,33.18836
14.65,49.4
5.41667,36.18333
-134.20139,59.70444
137.305,34.72
134.9,35.38333
NA,NA
112.76667,-7.75
-7.015,31.16333
136.23333,35.43333
122.9,45.4
10.41667,32.95
43.73333,19.38333
44.45,35.13333
23.5,46.71667
142.95,-25.73333
26.95,58.03333
70.6,33.4
37.15028,-1.00278
27.58333,-29.33333
118.99,32.94667
17.11667,49.6
-89.68333,38.2
1.53333,14.25
35.2,54.5
79.41667,13.63333
-7.61123,29.48195
111.53333,-7.08333
106.58333,-6.66667
34.76667,47.85
-105.21667,20.16667
133.75,34.5
140.86556,38.36667
76.86667,24.65
7.66667,45.06667
-104.16667,42.06667
1.4,43.6
102.53333,51.73333
4.76667,50.78333
13.16667,52.21667
10,45.46667
9.18333,50.91667
8.86667,58.47333
-95.1,32.16667
12.3,61.3
140.145,36.06333
105.66667,9.66667
105.38333,45.46667
90.75,30
-92.05167,45.34583
-103.36667,21.66667
5.61667,60
65.53333,57.16667
-48.78333,-19.81667
-69.85,11.05
62.51667,41.76667
NA,NA
8.08333,7.95
5.61667,51.65
74.78333,13.48333
35.35,-4.26667
7.21667,46.93333
76.33333,30.33333
31.21667,13.46667
124.76667,66.13889
127,34.8
133.28333,34.48333
16.375,49.975
5.18333,52.11667
7.55,47.11667
11.13333,45.41667
79.75,11.98333
9.15,44.86667
12.1,44.06667
-70.62833,9.31667
-41.73356,-20.85001
32.83333,46.15
77.26667,56.13333
51.63333,35.33333
43.2,48.41667
-91.16667,43.5
45.8,57.8
11.4,44.85
-4.66667,42.8
-56.5,-25.83333
-111.69167,54.225
22.63333,43.53333
87.43333,23.1
80.75,16.83333
70,25.45
0.16667,46.63333
-98.3,34.33333
-91.15,38.68333
-122.35,45.58333
21.78713,32.79732
17.38333,48.95
-73.266667,41.266667
-72.65,41.7
-72.67361,41.71056
-110.434183,31.96185
120.32833,-26.59278
30,-26
18.91667,-28.66667
23,-32.5
39,9
-0.41333,54.13667
115.83333,-27.75
-83.6115,42.38467
114.25,36.75
113.33333,35.13333
117.5,44.66667
114.31667,32.33333
45.17,13.71111
22.5,1
111.83333,21.83333
114.16667,24.56667
48.25,38.93333
79.76667,14.3
139,37.75
-73.81667,41.28333
131.45,34.16667
116.61667,28.71667
35.36667,47.31667
27.68333,50.28333
27.91667,55.18333
-9.33333,27.33333
7.08333,11.73333
83,47.5
133.8,33.7
112.75,32.3
43.9,47.13333
19.11667,44.4
13.91667,49.88333
25,55.3
125.91667,45.81667
37.25,47.58333
122.98333,39.66667
26.83333,51.83333
35.28333,-15.18333
21.5,46.93333
30.25,50.2
-105.41667,26.8
48.95937,22.72192
-104.28333,36.3
-101.8,33.85
22.3,60.43333
29.83583,27.23944
3.61667,27.5
3.85,27.61667
4.03333,27.81667
3.81667,27.58333
3.83333,27.6
3.96667,27.63333
3.65,27.51667
3.7,27.53333
4.08333,27.73333
4.1,27.75
4.16667,27.75
4.16667,27.8
4.28333,27.83333
4.46667,27.8
4.28333,27.78333
4.48333,27.71667
4.4,27.73333
4.08333,27.7
4.06667,27.7
4.06667,27.7
3.61667,27.55
3.83333,27.51667
3.91667,27.51667
3.93333,27.55
3.96667,27.58333
4.05,27.61667
4.2,27.66667
4.25,27.66667
4.33333,27.68333
4.41667,27.68333
4.35,27.66667
4.46667,27.65
4.43333,27.65
4.35,27.63333
4.3,27.6
4.25,27.58333
4.13333,27.55
4,27.53333
3.91667,27.53333
3.78333,27.46667
3.71667,27.43333
3.83333,27.46667
3.91667,27.51667
4,27.55
4.7,27.78333
4.7,27.83333
4.08333,27.55
3.71667,27.41667
4.5,27.65
4.41667,27.61667
4.15,27.75
4.05,27.73333
3.93333,27.7
3.98333,27.5
3.88333,27.46667
3.71667,27.38333
4.06667,27.51667
4.16667,27.56667
4.25,27.6
4.41667,27.6
4.56667,27.61667
4.56667,27.61667
4.28333,27.5
4.06667,27.63333
4.78333,27.71667
3.7,27.55
3.83333,27.53333
4.48333,27.68333
4.28333,27.63333
4.25,27.63333
3.85,27.53333
3.83333,27.48333
3.73333,27.51667
4.35,27.7
4.51667,27.63333
4.15,27.56667
3.68333,27.5
4.51667,27.63333
3.86667,27.53333
3.48333,27.5
3.63333,27.48333
3.86667,27.55
3.95,27.58333
4.18333,27.66667
4.26667,27.7
4.43333,27.75
4.3,27.63333
3.83333,27.5
4.11667,27.45
4.51667,27.66667
4.13333,27.71667
4.43333,27.73333
4.38333,27.71667
4.2,27.61667
3.96667,27.51667
3.88333,27.46667
3.83333,27.45
3.95,27.46667
4.16667,27.53333
4.46667,27.66667
4.5,27.8
4.36667,27.63333
4.13333,27.55
3.9,27.5
3.75,27.45
3.88333,27.5
3.76667,27.55
3.8,27.48333
3.8,27.48333
4.03333,27.65
4.03333,27.56667
3.96667,27.6
4.16667,27.73333
4.16667,27.73333
4.2,27.73333
4.2,27.66667
NA,NA
4.23333,27.65
4.3,27.65
4.33333,27.68333
3.66667,27.5
3.76667,27.46667
4.05,27.6
4.35,27.68333
3.8,27.51667
4.3,27.7
4.3,27.5
4.2,27.6
4,27.58333
3.96667,27.58333
3.76667,27.5
3.83333,27.5
4.53333,27.76667
4.03333,27.55
4.05,27.46667
4.08333,27.58333
4.08333,27.66667
4.08333,27.56667
4.08333,27.56667
3.85,27.58333
4.35,27.56667
4.45,27.66667
4.28333,27.66667
4.28333,27.66667
4.08333,27.63333
4.11667,27.6
4.06667,27.58333
4.05,27.58333
3.81667,27.56667
3.71667,27.46667
3.75,27.43333
3.95,27.53333
4.01667,27.55
4.25,27.66667
4.23333,27.66667
4.23333,27.66667
4.21667,27.66667
3.93333,27.5
3.71667,27.46667
4.43333,27.75
4.01667,27.66667
4.35,27.7
4.18333,27.53333
4.33333,27.56667
4.23333,27.51667
4,27.51667
NA,NA
3.98333,27.6
4.11667,27.73333
4.25,27.65
4.16667,27.66667
4.03333,27.65
3.86667,27.48333
3.85,27.48333
3.85,27.48333
3.85,27.48333
3.75,27.48333
3.75,27.46667
4.16667,27.6
4.2,27.66667
4.35,27.7
4.16667,27.58333
4.01667,27.56667
3.83333,27.53333
3.86667,27.46667
3.9,27.46667
4.11667,27.58333
4.18333,27.6
4.3,27.7
4.3,27.7
4.2,27.65
3.95,27.56667
3.68889,27.49944
3.81139,27.52472
4.03389,27.57694
4.14,27.55583
3.79139,27.51694
3.85139,27.48028
3.92111,27.50194
3.91806,27.59222
4.60167,27.50889
4.36917,27.57806
3.98306,27.64639
4.32806,27.7375
4.37861,27.69083
4.37194,27.68806
3.88194,27.50472
3.88194,27.50472
3.87028,27.49722
3.78167,27.46472
3.71361,27.61278
4.30694,27.68111
4.37861,27.69
4.17056,27.64028
4.90361,27.59972
3.88583,27.59444
NA,NA
3.74306,27.54472
3.79139,27.52139
3.79694,27.52417
3.81361,27.5325
3.82778,27.54194
3.82778,27.54194
3.93444,27.63889
3.94389,27.64528
3.99389,27.68444
4.425,27.66861
4.11972,27.57389
4.24611,27.82611
4.30833,27.74056
4.31611,27.73472
4.32833,27.73944
4.44806,27.71722
4.09861,27.50111
4.01667,27.51889
3.89111,27.51056
3.83278,27.49167
3.67306,27.50361
3.66639,27.48444
3.69444,27.49833
3.72722,27.51583
3.77333,27.52111
3.80972,27.52472
3.92639,27.56389
3.32167,27.69222
4.03139,27.63611
4.02528,27.63556
3.95361,27.62167
3.74194,27.55139
3.88056,27.50972
